event-id,visible,timestamp,location-long,location-lat,algorithm-marked-outlier,height-raw,sensor-type,individual-taxon-canonical-name,tag-local-identifier,individual-local-identifier,study-name
369424884,true,2009-04-07 09:00:00.000,-10.21617,54.12067,,"neg alt","gps","Branta leucopsis","65698","65698","Migration timing in barnacle geese (Greenland) (data from Kölzsch et al. and Shariatinajafabadi et al. 2014)"
369424885,true,2009-04-07 11:00:00.000,-10.21217,54.12117,,"neg alt","gps","Branta leucopsis","65698","65698","Migration timing in barnacle geese (Greenland) (data from Kölzsch et al. and Shariatinajafabadi et al. 2014)"
369424886,true,2009-04-07 13:00:00.000,-10.21117,54.121,,"neg alt","gps","Branta leucopsis","65698","65698","Migration timing in barnacle geese (Greenland) (data from Kölzsch et al. and Shariatinajafabadi et al. 2014)"
369424887,true,2009-04-07 15:00:00.000,-10.2125,54.1195,,"2D fix","gps","Branta leucopsis","65698","65698","Migration timing in barnacle geese (Greenland) (data from Kölzsch et al. and Shariatinajafabadi et al. 2014)"
369424888,true,2009-04-07 17:00:00.000,-10.21917,54.11883,,"3","gps","Branta leucopsis","65698","65698","Migration timing in barnacle geese (Greenland) (data from Kölzsch et al. and Shariatinajafabadi et al. 2014)"
369424889,true,2009-04-07 19:00:00.000,-10.21967,54.11817,,"3","gps","Branta leucopsis","65698","65698","Migration timing in barnacle geese (Greenland) (data from Kölzsch et al. and Shariatinajafabadi et al. 2014)"
369424890,true,2009-04-07 21:00:00.000,-10.2185,54.11767,,"3","gps","Branta leucopsis","65698","65698","Migration timing in barnacle geese (Greenland) (data from Kölzsch et al. and Shariatinajafabadi et al. 2014)"
369424891,true,2009-04-07 23:00:00.000,-10.21867,54.1175,,"3","gps","Branta leucopsis","65698","65698","Migration timing in barnacle geese (Greenland) (data from Kölzsch et al. and Shariatinajafabadi et al. 2014)"
369424892,true,2009-04-08 03:00:00.000,-10.21867,54.11733,,"5","gps","Branta leucopsis","65698","65698","Migration timing in barnacle geese (Greenland) (data from Kölzsch et al. and Shariatinajafabadi et al. 2014)"
369424893,true,2009-04-08 05:00:00.000,-10.2185,54.11733,,"4","gps","Branta leucopsis","65698","65698","Migration timing in barnacle geese (Greenland) (data from Kölzsch et al. and Shariatinajafabadi et al. 2014)"
369424894,true,2009-04-08 07:00:00.000,-10.2115,54.11767,,"4","gps","Branta leucopsis","65698","65698","Migration timing in barnacle geese (Greenland) (data from Kölzsch et al. and Shariatinajafabadi et al. 2014)"
369424895,true,2009-04-08 09:00:00.000,-10.21383,54.1195,,"4","gps","Branta leucopsis","65698","65698","Migration timing in barnacle geese (Greenland) (data from Kölzsch et al. and Shariatinajafabadi et al. 2014)"
369424896,true,2009-04-08 11:00:00.000,-10.20917,54.11317,,"neg alt","gps","Branta leucopsis","65698","65698","Migration timing in barnacle geese (Greenland) (data from Kölzsch et al. and Shariatinajafabadi et al. 2014)"
369424897,true,2009-04-08 13:00:00.000,-10.2105,54.11417,,"2","gps","Branta leucopsis","65698","65698","Migration timing in barnacle geese (Greenland) (data from Kölzsch et al. and Shariatinajafabadi et al. 2014)"
369424898,true,2009-04-08 15:00:00.000,-10.21433,54.11517,,"neg alt","gps","Branta leucopsis","65698","65698","Migration timing in barnacle geese (Greenland) (data from Kölzsch et al. and Shariatinajafabadi et al. 2014)"
369424899,true,2009-04-08 17:00:00.000,-10.20883,54.11417,,"neg alt","gps","Branta leucopsis","65698","65698","Migration timing in barnacle geese (Greenland) (data from Kölzsch et al. and Shariatinajafabadi et al. 2014)"
369424900,true,2009-04-08 19:00:00.000,-10.21217,54.11767,,"neg alt","gps","Branta leucopsis","65698","65698","Migration timing in barnacle geese (Greenland) (data from Kölzsch et al. and Shariatinajafabadi et al. 2014)"
369424901,true,2009-04-08 21:00:00.000,-10.21133,54.11767,,"neg alt","gps","Branta leucopsis","65698","65698","Migration timing in barnacle geese (Greenland) (data from Kölzsch et al. and Shariatinajafabadi et al. 2014)"
369424902,true,2009-04-08 23:00:00.000,-10.2125,54.11767,,"4","gps","Branta leucopsis","65698","65698","Migration timing in barnacle geese (Greenland) (data from Kölzsch et al. and Shariatinajafabadi et al. 2014)"
369424903,true,2009-04-09 03:00:00.000,-10.21283,54.11767,,"4","gps","Branta leucopsis","65698","65698","Migration timing in barnacle geese (Greenland) (data from Kölzsch et al. and Shariatinajafabadi et al. 2014)"
369424904,true,2009-04-09 05:00:00.000,-10.213,54.11767,,"4","gps","Branta leucopsis","65698","65698","Migration timing in barnacle geese (Greenland) (data from Kölzsch et al. and Shariatinajafabadi et al. 2014)"
369424905,true,2009-04-09 07:00:00.000,-10.21317,54.11717,,"4","gps","Branta leucopsis","65698","65698","Migration timing in barnacle geese (Greenland) (data from Kölzsch et al. and Shariatinajafabadi et al. 2014)"
369424906,true,2009-04-09 09:00:00.000,-10.21233,54.1175,,"4","gps","Branta leucopsis","65698","65698","Migration timing in barnacle geese (Greenland) (data from Kölzsch et al. and Shariatinajafabadi et al. 2014)"
369424907,true,2009-04-09 11:00:00.000,-10.2135,54.11783,,"3","gps","Branta leucopsis","65698","65698","Migration timing in barnacle geese (Greenland) (data from Kölzsch et al. and Shariatinajafabadi et al. 2014)"
369424908,true,2009-04-09 13:00:00.000,-10.21383,54.118,,"5","gps","Branta leucopsis","65698","65698","Migration timing in barnacle geese (Greenland) (data from Kölzsch et al. and Shariatinajafabadi et al. 2014)"
369424909,true,2009-04-09 15:00:00.000,-10.21067,54.118,,"4","gps","Branta leucopsis","65698","65698","Migration timing in barnacle geese (Greenland) (data from Kölzsch et al. and Shariatinajafabadi et al. 2014)"
369424910,true,2009-04-09 17:00:00.000,-10.213,54.11833,,"4","gps","Branta leucopsis","65698","65698","Migration timing in barnacle geese (Greenland) (data from Kölzsch et al. and Shariatinajafabadi et al. 2014)"
369424911,true,2009-04-09 19:00:00.000,-10.2135,54.11767,,"4","gps","Branta leucopsis","65698","65698","Migration timing in barnacle geese (Greenland) (data from Kölzsch et al. and Shariatinajafabadi et al. 2014)"
369424912,true,2009-04-09 23:00:00.000,-10.21367,54.1175,,"4","gps","Branta leucopsis","65698","65698","Migration timing in barnacle geese (Greenland) (data from Kölzsch et al. and Shariatinajafabadi et al. 2014)"
369424913,true,2009-04-10 03:00:00.000,-10.214,54.11767,,"6","gps","Branta leucopsis","65698","65698","Migration timing in barnacle geese (Greenland) (data from Kölzsch et al. and Shariatinajafabadi et al. 2014)"
369424914,true,2009-04-10 05:00:00.000,-10.21367,54.1175,,"6","gps","Branta leucopsis","65698","65698","Migration timing in barnacle geese (Greenland) (data from Kölzsch et al. and Shariatinajafabadi et al. 2014)"
369424915,true,2009-04-10 07:00:00.000,-10.21067,54.119,,"neg alt","gps","Branta leucopsis","65698","65698","Migration timing in barnacle geese (Greenland) (data from Kölzsch et al. and Shariatinajafabadi et al. 2014)"
369424916,true,2009-04-10 09:00:00.000,-10.211,54.11933,,"neg alt","gps","Branta leucopsis","65698","65698","Migration timing in barnacle geese (Greenland) (data from Kölzsch et al. and Shariatinajafabadi et al. 2014)"
369424917,true,2009-04-10 11:00:00.000,-10.21417,54.11967,,"neg alt","gps","Branta leucopsis","65698","65698","Migration timing in barnacle geese (Greenland) (data from Kölzsch et al. and Shariatinajafabadi et al. 2014)"
369424918,true,2009-04-10 13:00:00.000,-10.21183,54.11967,,"neg alt","gps","Branta leucopsis","65698","65698","Migration timing in barnacle geese (Greenland) (data from Kölzsch et al. and Shariatinajafabadi et al. 2014)"
369424919,true,2009-04-10 15:00:00.000,-10.213,54.11967,,"neg alt","gps","Branta leucopsis","65698","65698","Migration timing in barnacle geese (Greenland) (data from Kölzsch et al. and Shariatinajafabadi et al. 2014)"
369424920,true,2009-04-10 17:00:00.000,-10.21217,54.1215,,"neg alt","gps","Branta leucopsis","65698","65698","Migration timing in barnacle geese (Greenland) (data from Kölzsch et al. and Shariatinajafabadi et al. 2014)"
369424921,true,2009-04-10 19:00:00.000,-10.20083,54.13083,,"neg alt","gps","Branta leucopsis","65698","65698","Migration timing in barnacle geese (Greenland) (data from Kölzsch et al. and Shariatinajafabadi et al. 2014)"
369424922,true,2009-04-10 21:00:00.000,-10.20017,54.1285,,"2D fix","gps","Branta leucopsis","65698","65698","Migration timing in barnacle geese (Greenland) (data from Kölzsch et al. and Shariatinajafabadi et al. 2014)"
369424923,true,2009-04-10 23:00:00.000,-10.20017,54.1285,,"neg alt","gps","Branta leucopsis","65698","65698","Migration timing in barnacle geese (Greenland) (data from Kölzsch et al. and Shariatinajafabadi et al. 2014)"
369424924,true,2009-04-11 03:00:00.000,-10.21283,54.1195,,"neg alt","gps","Branta leucopsis","65698","65698","Migration timing in barnacle geese (Greenland) (data from Kölzsch et al. and Shariatinajafabadi et al. 2014)"
369424925,true,2009-04-11 05:00:00.000,-10.21267,54.11967,,"2","gps","Branta leucopsis","65698","65698","Migration timing in barnacle geese (Greenland) (data from Kölzsch et al. and Shariatinajafabadi et al. 2014)"
369424926,true,2009-04-11 07:00:00.000,-10.21633,54.12017,,"3","gps","Branta leucopsis","65698","65698","Migration timing in barnacle geese (Greenland) (data from Kölzsch et al. and Shariatinajafabadi et al. 2014)"
369424927,true,2009-04-11 09:00:00.000,-10.2135,54.11933,,"2","gps","Branta leucopsis","65698","65698","Migration timing in barnacle geese (Greenland) (data from Kölzsch et al. and Shariatinajafabadi et al. 2014)"
369424928,true,2009-04-11 11:00:00.000,-10.21283,54.11933,,"2D fix","gps","Branta leucopsis","65698","65698","Migration timing in barnacle geese (Greenland) (data from Kölzsch et al. and Shariatinajafabadi et al. 2014)"
369424929,true,2009-04-11 13:00:00.000,-10.2125,54.11917,,"2","gps","Branta leucopsis","65698","65698","Migration timing in barnacle geese (Greenland) (data from Kölzsch et al. and Shariatinajafabadi et al. 2014)"
369424930,true,2009-04-11 15:00:00.000,-10.21267,54.11967,,"neg alt","gps","Branta leucopsis","65698","65698","Migration timing in barnacle geese (Greenland) (data from Kölzsch et al. and Shariatinajafabadi et al. 2014)"
369424931,true,2009-04-11 17:00:00.000,-10.21217,54.11933,,"neg alt","gps","Branta leucopsis","65698","65698","Migration timing in barnacle geese (Greenland) (data from Kölzsch et al. and Shariatinajafabadi et al. 2014)"
369424932,true,2009-04-11 19:00:00.000,-10.21217,54.11783,,"4","gps","Branta leucopsis","65698","65698","Migration timing in barnacle geese (Greenland) (data from Kölzsch et al. and Shariatinajafabadi et al. 2014)"
369424933,true,2009-04-11 21:00:00.000,-10.20867,54.115,,"3","gps","Branta leucopsis","65698","65698","Migration timing in barnacle geese (Greenland) (data from Kölzsch et al. and Shariatinajafabadi et al. 2014)"
369424934,true,2009-04-11 23:00:00.000,-10.21717,54.1185,,"7","gps","Branta leucopsis","65698","65698","Migration timing in barnacle geese (Greenland) (data from Kölzsch et al. and Shariatinajafabadi et al. 2014)"
369424935,true,2009-04-12 03:00:00.000,-10.21717,54.1185,,"5","gps","Branta leucopsis","65698","65698","Migration timing in barnacle geese (Greenland) (data from Kölzsch et al. and Shariatinajafabadi et al. 2014)"
369424936,true,2009-04-12 05:00:00.000,-10.218,54.1185,,"4","gps","Branta leucopsis","65698","65698","Migration timing in barnacle geese (Greenland) (data from Kölzsch et al. and Shariatinajafabadi et al. 2014)"
